sylinder
t;x;y
0,000000000E0;2,436146162E-1;3,656971093E0
4,000000000E-2;2,517574905E-1;3,658608262E0
8,000000000E-2;2,913032780E-1;3,665177898E0
1,200000000E-1;3,504973688E-1;3,662267417E0
1,600000000E-1;4,196220357E-1;3,667960505E0
2,000000000E-1;5,203038760E-1;3,670121163E0
2,400000000E-1;6,564852917E-1;3,680539004E0
2,800000000E-1;7,952357561E-1;3,678239554E0
3,200000000E-1;9,851656720E-1;3,682662506E0
3,600000000E-1;1,178964417E0;3,683665066E0
4,000000000E-1;1,418348251E0;3,680308971E0
4,400000000E-1;1,673151752E0;3,691154621E0
4,800000000E-1;1,962811043E0;3,688117575E0
5,200000000E-1;2,288690872E0;3,694283391E0
5,600000000E-1;2,618581824E0;3,693889993E0
6,000000000E-1;2,972816694E0;3,699616631E0
6,400000000E-1;3,367724478E0;3,714268211E0
6,800000000E-1;3,774815750E0;3,713682003E0
7,200000000E-1;4,248711322E0;3,713450711E0
7,600000000E-1;4,726464701E0;3,726675488E0
8,000000000E-1;5,228014591E0;3,716221384E0
8,400000000E-1;5,772665058E0;3,709306643E0
8,800000000E-1;6,332572641E0;3,705695644E0
9,200000000E-1;6,886624289E0;3,709893362E0
9,600000000E-1;7,510079938E0;3,716821507E0
1,000000000E0;8,148250717E0;3,724135319E0
1,040000000E0;8,835926155E0;3,735796243E0
1,080000000E0;9,539879133E0;3,735488306E0
1,120000000E0;1,027836646E1;3,698085694E0
1,160000000E0;1,099471279E1;3,682206841E0
1,200000000E0;1,168342432E1;3,658984291E0
1,240000000E0;1,234672740E1;3,678339301E0
1,280000000E0;1,327099273E1;3,725838084E0
1,320000000E0;1,421162851E1;3,716927748E0
1,360000000E0;1,509773858E1;3,677293413E0
1,400000000E0;1,604168375E1;3,673165972E0
1,440000000E0;1,695846331E1;3,674594369E0
1,480000000E0;1,785445955E1;3,666873371E0
1,520000000E0;1,885490537E1;3,693353280E0
1,560000000E0;1,992608760E1;3,797449280E0
1,600000000E0;2,108398681E1;3,862150588E0
1,640000000E0;2,229225733E1;3,782190764E0
1,680000000E0;2,119575312E1;3,321166594E0
1,720000000E0;2,335513276E1;3,945571129E0
1,760000000E0;2,560551425E1;3,948089949E0
1,800000000E0;2,676667271E1;3,936588328E0
1,840000000E0;2,815058470E1;3,965129744E0
1,880000000E0;2,772314225E1;4,574383155E0
1,920000000E0;2,954690361E1;5,153942633E0
1,960000000E0;3,319129491E1;4,026033353E0
2,000000000E0;3,553243783E1;3,608170806E0
2,040000000E0;3,479864743E1;3,887582675E0
2,080000000E0;3,612614369E1;3,809172962E0
2,120000000E0;3,573736274E1;3,788881401E0
