mass_A
t;x;y
0.000000000E0;-1.264587640E0;2.611216710E1
4.000000000E-2;-1.246204045E0;2.611876972E1
8.000000000E-2;-1.193780745E0;2.613453708E1
1.200000000E-1;-1.083784812E0;2.614511244E1
1.600000000E-1;-7.882072643E-1;2.621468745E1
2.000000000E-1;-4.844079229E-1;2.617968892E1
2.400000000E-1;2.596034722E-3;2.615629206E1
2.800000000E-1;6.523583990E-1;2.618773614E1
3.200000000E-1;1.701606686E0;2.619380935E1
3.600000000E-1;2.926560169E0;2.617107933E1
4.000000000E-1;4.310347770E0;2.615887476E1
4.400000000E-1;5.954777617E0;2.616211518E1
4.800000000E-1;7.876580038E0;2.614530176E1
5.200000000E-1;9.822557766E0;2.613092146E1
5.600000000E-1;1.216396664E1;2.612870556E1
6.000000000E-1;1.469122396E1;2.612190925E1
6.400000000E-1;1.750102765E1;2.599665844E1
6.800000000E-1;2.044235167E1;2.596666599E1
7.200000000E-1;2.360414599E1;2.605560015E1
7.600000000E-1;2.682769101E1;2.606419331E1
8.000000000E-1;3.040590097E1;2.610869292E1
8.400000000E-1;3.448366066E1;2.609807545E1
8.800000000E-1;3.858280039E1;2.611724898E1
9.200000000E-1;4.293555997E1;2.619144746E1
9.600000000E-1;4.731667312E1;2.617255570E1
1.000000000E0;5.214247996E1;2.619405263E1
1.040000000E0;5.699842953E1;2.622401106E1
1.080000000E0;6.237537666E1;2.638987153E1
1.120000000E0;6.791703898E1;2.635275522E1
1.160000000E0;7.346607129E1;2.635490063E1
1.200000000E0;7.938177362E1;2.645379167E1
1.240000000E0;8.550368840E1;2.648677469E1
1.280000000E0;9.193679104E1;2.625237276E1
1.320000000E0;9.845398195E1;2.623916791E1
1.360000000E0;1.050257351E2;2.599811883E1
1.400000000E0;1.120136269E2;2.625044143E1
1.440000000E0;1.193128123E2;2.632638995E1
1.480000000E0;1.262904062E2;2.630340369E1
1.520000000E0;1.339442435E2;2.607252189E1
1.560000000E0;1.408670643E2;2.598481747E1
1.600000000E0;1.488296825E2;2.645973311E1
1.640000000E0;1.564946351E2;2.625082129E1
1.680000000E0;1.647276907E2;2.658628722E1
1.720000000E0;1.740897754E2;2.780926332E1
1.760000000E0;1.826735702E2;2.788782586E1
1.800000000E0;1.931308876E2;2.786300111E1
1.840000000E0;1.823194408E2;2.160805932E1
1.880000000E0;2.013365958E2;2.846646807E1
1.920000000E0;2.211151425E2;2.903303693E1
1.960000000E0;2.311833690E2;2.925093806E1
2.000000000E0;2.433313497E2;2.925608541E1
2.040000000E0;2.546070855E2;2.917866719E1
2.080000000E0;2.710894849E2;3.974085734E1
2.120000000E0;2.851226583E2;3.481864769E1
2.160000000E0;3.013280530E2;2.856367917E1
2.200000000E0;2.998628970E2;2.926512323E1
2.240000000E0;3.114071700E2;2.874581350E1
2.280000000E0;3.221405144E2;2.902960022E1
2.320000000E0;3.350390948E2;2.949083035E1
2.360000000E0;3.474066974E2;2.310493679E1
2.400000000E0;3.575120060E2;3.023357433E1
2.440000000E0;3.553249834E2;3.040782755E1
2.480000000E0;3.690999180E2;3.477340850E1
2.520000000E0;3.888743906E2;2.748196817E1
2.560000000E0;4.019731443E2;3.227388903E1
2.600000000E0;4.364624337E2;4.183271864E1
2.640000000E0;4.514735258E2;3.860239910E1
2.680000000E0;4.545818329E2;3.159831616E1
2.720000000E0;4.573900150E2;1.576198937E1
2.760000000E0;4.334584532E2;-4.841024361E1
2.800000000E0;4.288279613E2;-5.025169277E1
2.840000000E0;4.479239126E2;-4.267814035E1
2.880000000E0;4.479572182E2;-4.262822520E1
2.920000000E0;4.396474524E2;-4.601776092E1
