sylinder
t;x;y
0,000000000E0;1,331884099E-1;3,972384362E0
4,000000000E-2;6,033180796E-1;3,888896325E0
8,000000000E-2;9,236222260E-1;3,890209782E0
1,200000000E-1;8,375072770E-1;4,060688405E0
1,600000000E-1;9,227465885E-1;4,103745879E0
2,000000000E-1;1,029514637E0;4,104183698E0
2,400000000E-1;1,029514637E0;4,104183698E0
2,800000000E-1;1,286108209E0;4,019820024E0
3,200000000E-1;1,371347521E0;4,062877499E0
3,600000000E-1;2,011955814E0;4,065504411E0
4,000000000E-1;2,033484551E0;4,022884755E0
4,400000000E-1;2,140252600E0;4,023322574E0
4,800000000E-1;2,823042730E0;4,154246273E0
5,200000000E-1;3,058107565E0;4,112502255E0
5,600000000E-1;3,506708497E0;4,071633874E0
6,000000000E-1;3,506708497E0;4,071633874E0
6,400000000E-1;4,275613576E0;4,032078950E0
6,800000000E-1;4,275613576E0;4,032078950E0
7,200000000E-1;5,407880276E0;3,908598170E0
7,600000000E-1;6,305082141E0;3,826861409E0
8,000000000E-1;6,902632959E0;3,914727633E0
8,400000000E-1;6,987872270E0;3,957785108E0
8,800000000E-1;7,606514007E0;4,109799725E0
9,200000000E-1;8,332799430E0;4,048716063E0
9,600000000E-1;9,336769344E0;3,967417121E0
1,000000000E0;9,849080851E0;4,012225870E0
1,040000000E0;1,053230880E1;4,036381520E0
1,080000000E0;1,089567042E1;3,952455665E0
1,120000000E0;1,172872389E1;3,891809822E0
1,160000000E0;1,241151402E1;4,022733521E0
1,200000000E0;1,354421854E1;3,792484692E0
1,240000000E0;1,418438901E1;3,901879654E0
1,280000000E0;1,514486364E1;4,012588072E0
1,320000000E0;1,631974999E1;3,910636029E0
1,360000000E0;1,696035828E1;3,913262942E0
1,400000000E0;1,798541912E1;3,896112393E0
1,440000000E0;1,894633155E1;3,900052761E0
1,480000000E0;2,018449067E1;3,990545898E0
1,520000000E0;2,097448666E1;4,015139367E0
1,560000000E0;2,199998531E1;3,891220769E0
1,600000000E0;2,332338374E1;4,024771380E0
1,640000000E0;2,434800675E1;4,114388879E0
1,680000000E0;2,577904886E1;4,034841212E0
1,720000000E0;2,682520061E1;4,081839055E0
1,760000000E0;2,825580490E1;4,109059437E0
1,800000000E0;2,970881357E1;3,880124065E0
1,840000000E0;3,077605623E1;3,991270301E0
1,880000000E0;3,214163649E1;4,253117699E0
1,920000000E0;3,348700147E1;4,237280606E0
1,960000000E0;3,474668932E1;4,285154087E0
2,000000000E0;3,615576487E1;4,354994124E0
2,040000000E0;3,756484043E1;4,424834161E0
2,080000000E0;3,918876553E1;4,175245689E0
2,120000000E0;4,040583373E1;4,201590433E0
2,160000000E0;4,200691664E1;4,314925763E0
2,200000000E0;4,360887519E1;4,214724996E0
2,240000000E0;4,557375754E1;4,137366423E0
2,280000000E0;4,706894805E1;4,036727837E0
2,320000000E0;4,849999015E1;3,957180169E0
2,360000000E0;5,020784112E1;4,070953318E0
2,400000000E0;5,189372552E1;4,334114172E0
2,440000000E0;5,343197350E1;4,148236275E0
2,480000000E0;5,516135320E1;4,219389768E0
2,520000000E0;5,714688865E1;4,312947636E0
2,560000000E0;5,872731846E1;4,255366525E0
2,600000000E0;6,011574092E1;4,154290120E0
