mass_A
t;x;y
0.000000000E0;6.973314091E-1;2.727714026E0
4.000000000E-2;7.021110394E-1;2.727600674E0
8.000000000E-2;7.198170603E-1;2.732984384E0
1.200000000E-1;7.672699924E-1;2.725131935E0
1.600000000E-1;8.282722735E-1;2.729938182E0
2.000000000E-1;9.207801279E-1;2.728616754E0
2.400000000E-1;1.038920735E0;2.720081760E0
2.800000000E-1;1.179286600E0;2.724757645E0
3.200000000E-1;1.364325658E0;2.720649273E0
3.600000000E-1;1.589246604E0;2.710462918E0
4.000000000E-1;1.819982895E0;2.718323285E0
4.400000000E-1;2.082149420E0;2.714014852E0
4.800000000E-1;2.370847905E0;2.712993144E0
5.200000000E-1;2.698258090E0;2.722082177E0
5.600000000E-1;3.066166579E0;2.730678809E0
6.000000000E-1;3.448552935E0;2.725711941E0
6.400000000E-1;3.853237731E0;2.732833629E0
6.800000000E-1;4.304898266E0;2.743196421E0
7.200000000E-1;4.780024158E0;2.751412956E0
7.600000000E-1;5.272273576E0;2.751750863E0
8.000000000E-1;5.832032648E0;2.738468715E0
8.400000000E-1;6.365873799E0;2.764340699E0
8.800000000E-1;6.958309767E0;2.776438509E0
9.200000000E-1;7.582240808E0;2.786224551E0
9.600000000E-1;8.229189819E0;2.778554931E0
1.000000000E0;8.926336245E0;2.787312891E0
1.040000000E0;9.653472159E0;2.798081235E0
1.080000000E0;1.039713795E1;2.781209576E0
1.120000000E0;1.119066092E1;2.747496289E0
1.160000000E0;1.198215674E1;2.714148847E0
1.200000000E0;1.277876584E1;2.703325428E0
1.240000000E0;1.361654468E1;2.733603161E0
1.280000000E0;1.663316039E1;2.910258177E0
1.320000000E0;1.535935464E1;2.712445727E0
1.360000000E0;1.626841456E1;2.597684072E0
1.400000000E0;1.700548019E1;2.563310670E0
1.440000000E0;1.814233058E1;2.605962145E0
1.480000000E0;1.911236204E1;2.685606771E0
1.520000000E0;2.023488305E1;2.871980056E0
1.560000000E0;2.119532757E1;2.257787329E0
1.600000000E0;2.257222227E1;2.872362138E0
1.640000000E0;2.163646145E1;2.016818541E0
1.680000000E0;2.286212060E1;2.736726032E0
1.720000000E0;2.563825010E1;3.025890356E0
1.760000000E0;2.725209529E1;2.989685966E0
1.800000000E0;2.867109732E1;2.992831233E0
1.840000000E0;3.005600155E1;2.988072946E0
1.880000000E0;3.150208814E1;2.983020791E0
1.920000000E0;3.266208467E1;2.867307791E0
1.960000000E0;3.618609905E1;2.986484552E0
2.000000000E0;3.549614460E1;2.788008826E0
2.040000000E0;3.664130853E1;2.646143005E0
2.080000000E0;3.844780347E1;2.699958870E0
2.120000000E0;3.996951201E1;2.818982253E0
2.160000000E0;4.128306762E1;2.447961732E0
2.200000000E0;4.089357631E1;1.822341286E0
2.240000000E0;4.262263756E1;2.883773506E0
2.280000000E0;4.620361762E1;3.019420366E0
2.320000000E0;4.798338009E1;3.111235947E0
2.360000000E0;4.997130463E1;3.031849872E0
2.400000000E0;5.146985434E1;2.918709218E0
2.440000000E0;5.562766411E1;3.290985662E0
2.480000000E0;5.779629626E1;3.172855614E0
2.520000000E0;5.939766022E1;2.047531676E0
2.560000000E0;6.061432522E1;4.915341930E0
2.600000000E0;6.246368283E1;4.361511912E0
