sylinder
t;x;y
0,000000000E0;2,378262685E-1;3,570080492E0
4,000000000E-2;3,572440243E-1;3,570825320E0
8,000000000E-2;4,865996866E-1;3,574938604E0
1,200000000E-1;6,532136607E-1;3,581009833E0
1,600000000E-1;8,476731223E-1;3,583049281E0
2,000000000E-1;1,072571497E0;3,581452886E0
2,400000000E-1;1,326358514E0;3,581506633E0
2,800000000E-1;1,584286194E0;3,578694344E0
3,200000000E-1;1,884245742E0;3,592558198E0
3,600000000E-1;2,209038379E0;3,590525606E0
4,000000000E-1;2,557224469E0;3,587155020E0
4,400000000E-1;2,937009348E0;3,595445352E0
4,800000000E-1;3,333361391E0;3,591329561E0
5,200000000E-1;3,747621128E0;3,596147736E0
5,600000000E-1;4,234413331E0;3,616361376E0
6,000000000E-1;4,730934267E0;3,614476389E0
6,400000000E-1;5,289449892E0;3,615193122E0
6,800000000E-1;5,844284503E0;3,587297765E0
7,200000000E-1;6,358731302E0;3,579329597E0
7,600000000E-1;6,946553538E0;3,587314397E0
8,000000000E-1;7,564633449E0;3,592734542E0
8,400000000E-1;8,209488525E0;3,578507348E0
8,800000000E-1;8,887113158E0;3,583376328E0
9,200000000E-1;9,596704999E0;3,581197342E0
9,600000000E-1;1,032951240E1;3,576564030E0
1,000000000E0;1,107948781E1;3,560374715E0
1,040000000E0;1,180239842E1;3,513689654E0
1,080000000E0;1,247593072E1;3,512350154E0
1,120000000E0;1,327709145E1;3,537342065E0
1,160000000E0;1,412441509E1;3,584806371E0
1,200000000E0;1,509047694E1;3,556200899E0
1,240000000E0;1,593490180E1;3,504903221E0
1,280000000E0;1,685361667E1;3,516158912E0
1,320000000E0;1,775100160E1;3,525724483E0
1,360000000E0;1,870153877E1;3,557438205E0
1,400000000E0;1,972294394E1;3,654519422E0
1,440000000E0;2,080756117E1;3,691800635E0
1,480000000E0;2,191432967E1;3,658304633E0
1,520000000E0;2,303026069E1;3,585257103E0
1,560000000E0;2,214018440E1;3,529812038E0
1,600000000E0;2,473567031E1;3,817661736E0
1,640000000E0;2,627684781E1;3,750860318E0
1,680000000E0;2,748306000E1;3,744684318E0
1,720000000E0;2,878491621E1;3,728180034E0
1,760000000E0;2,963570060E1;3,219886238E0
1,800000000E0;3,118183703E1;3,686209397E0
1,840000000E0;3,359504963E1;3,597675758E0
1,880000000E0;3,367601482E1;3,722980456E0
1,920000000E0;3,507583317E1;3,609116744E0
1,960000000E0;3,614067181E1;3,670230900E0
2,000000000E0;3,762264821E1;2,623350999E0
2,040000000E0;4,015584175E1;2,250794242E0
2,080000000E0;3,911708884E1;1,747296796E0
2,120000000E0;4,006058777E1;2,675764795E0
2,160000000E0;4,225211166E1;3,966340826E0
2,200000000E0;4,343334407E1;3,466254426E0
2,240000000E0;4,503210090E1;4,266056766E0
2,280000000E0;4,846378375E1;4,782815052E0
2,320000000E0;4,903249304E1;5,269335290E0
2,360000000E0;5,027030329E1;3,827633131E0
2,400000000E0;5,392895499E1;4,572617092E0
2,440000000E0;5,501509685E1;4,166609768E0
2,480000000E0;5,488527739E1;4,136202474E0
2,520000000E0;;
2,560000000E0;5,751363283E1;4,390211793E0
