mass_A
t	x	y
0.000000000E0	4.212762474E-1	2.834592073E0
4.000000000E-2	4.254740546E-1	2.835323451E0
8.000000000E-2	4.394070261E-1	2.834789734E0
1.200000000E-1	4.752820377E-1	2.832131749E0
1.600000000E-1	5.318101735E-1	2.831685785E0
2.000000000E-1	5.891832482E-1	2.839976060E0
2.400000000E-1	6.778011152E-1	2.837725718E0
2.800000000E-1	7.869506234E-1	2.829114347E0
3.200000000E-1	9.278348657E-1	2.827758473E0
3.600000000E-1	1.077192722E0	2.831787406E0
4.000000000E-1	1.276095201E0	2.825796785E0
4.400000000E-1	1.473898218E0	2.834058144E0
4.800000000E-1	1.705200140E0	2.830358817E0
5.200000000E-1	1.957812361E0	2.830185978E0
5.600000000E-1	2.231570944E0	2.834558754E0
6.000000000E-1	2.551234123E0	2.831884996E0
6.400000000E-1	2.872765363E0	2.819074832E0
6.800000000E-1	3.211099577E0	2.804687461E0
7.200000000E-1	3.580165449E0	2.805474125E0
7.600000000E-1	3.975196331E0	2.803661180E0
8.000000000E-1	4.408087873E0	2.807798180E0
8.400000000E-1	4.840223964E0	2.800169078E0
8.800000000E-1	5.296571375E0	2.797841304E0
9.200000000E-1	5.775898623E0	2.793401968E0
9.600000000E-1	6.283926296E0	2.799703274E0
1.000000000E0	6.817605644E0	2.799775084E0
1.040000000E0	7.401164871E0	2.792377104E0
1.080000000E0	7.971697720E0	2.796619575E0
1.120000000E0	8.598710607E0	2.791589793E0
1.160000000E0	9.228065776E0	2.781060079E0
1.200000000E0	9.880839297E0	2.746271768E0
1.240000000E0	1.051634879E1	2.723310907E0
1.280000000E0	1.118220984E1	2.712235661E0
1.320000000E0	1.188887012E1	2.732029870E0
1.360000000E0	1.264655362E1	2.741393923E0
1.400000000E0	1.337840939E1	2.697943218E0
1.440000000E0	1.417184963E1	2.668467508E0
1.480000000E0	1.498261181E1	2.715110230E0
1.520000000E0	1.575006921E1	2.698996222E0
1.560000000E0	1.657021130E1	2.677560170E0
1.600000000E0	1.745258236E1	2.703051116E0
1.640000000E0	1.841038449E1	2.814456748E0
1.680000000E0	1.943913327E1	2.803108237E0
1.720000000E0	2.041918033E1	2.745440915E0
1.760000000E0	1.955054968E1	2.631065998E0
1.800000000E0	2.216804696E1	2.851026695E0
1.840000000E0	2.329924597E1	2.878090463E0
1.880000000E0	2.440495572E1	2.870944706E0
1.920000000E0	2.377099123E1	3.015346628E0
1.960000000E0	2.521667908E1	3.665750104E0
2.000000000E0	2.709465232E1	4.158780636E0
2.040000000E0	3.087286108E1	3.028468722E0
2.080000000E0	3.005630284E1	2.816141881E0
2.120000000E0	3.134233872E1	2.800016779E0
2.160000000E0	3.230879255E1	2.778327495E0
2.200000000E0	3.361518467E1	2.851880926E0
2.240000000E0	3.494271713E1	2.173361959E0
