mass_A
t;x;y
0.000000000E0;6.336944700E0;2.918753766E1
4.000000000E-2;6.402617868E0;2.919790768E1
8.000000000E-2;6.730297740E0;2.917227184E1
1.200000000E-1;7.004988011E0;2.921076837E1
1.600000000E-1;7.536590560E0;2.919214887E1
2.000000000E-1;8.099362201E0;2.926216223E1
2.400000000E-1;8.881958085E0;2.924451499E1
2.800000000E-1;9.982793356E0;2.914448736E1
3.200000000E-1;1.121554906E1;2.915693305E1
3.600000000E-1;1.263030349E1;2.912999657E1
4.000000000E-1;1.428327410E1;2.913653345E1
4.400000000E-1;1.629084701E1;2.912429905E1
4.800000000E-1;1.851744122E1;2.900624485E1
5.200000000E-1;2.099478977E1;2.896472359E1
5.600000000E-1;2.363851680E1;2.897427173E1
6.000000000E-1;2.652259646E1;2.886723309E1
6.400000000E-1;2.985069437E1;2.879794314E1
6.800000000E-1;3.331540741E1;2.883390420E1
7.200000000E-1;3.698411557E1;2.872362824E1
7.600000000E-1;4.094319544E1;2.855475822E1
8.000000000E-1;4.496204516E1;2.856828346E1
8.400000000E-1;4.948799710E1;2.846607187E1
8.800000000E-1;5.434663735E1;2.842954432E1
9.200000000E-1;5.895107358E1;2.839375044E1
9.600000000E-1;6.405687051E1;2.835176132E1
1.000000000E0;6.937063714E1;2.839168429E1
1.040000000E0;7.532066080E1;2.843787509E1
1.080000000E0;8.150683330E1;2.841138532E1
1.120000000E0;8.745378259E1;2.854837759E1
1.160000000E0;9.385790340E1;2.853221628E1
1.200000000E0;1.005791043E2;2.821873117E1
1.240000000E0;1.073710932E2;2.798937636E1
1.280000000E0;1.140848939E2;2.772774008E1
1.320000000E0;1.208023028E2;2.788764827E1
1.360000000E0;1.286003126E2;2.808928976E1
1.400000000E0;1.368172405E2;2.776122466E1
1.440000000E0;1.444280798E2;2.769611113E1
1.480000000E0;1.524257501E2;2.764445210E1
1.520000000E0;1.611564906E2;2.768244103E1
1.560000000E0;1.694009728E2;2.760541342E1
1.600000000E0;1.780643613E2;2.757830261E1
1.640000000E0;1.878672613E2;2.875428655E1
1.680000000E0;1.989617866E2;2.911254980E1
1.720000000E0;2.091576529E2;2.844958888E1
1.760000000E0;2.003080380E2;2.425490444E1
1.800000000E0;2.178048461E2;2.959787948E1
1.840000000E0;2.387220792E2;2.959798447E1
1.880000000E0;2.492344371E2;2.982166616E1
1.920000000E0;2.597541933E2;2.988782479E1
1.960000000E0;2.558257391E2;3.490744346E1
2.000000000E0;2.744767284E2;4.095447481E1
2.040000000E0;2.955870367E2;4.378961927E1
2.080000000E0;3.285655373E2;2.654621840E1
2.120000000E0;3.216754184E2;2.898178493E1
2.160000000E0;3.340342249E2;2.815735618E1
2.200000000E0;3.494254092E2;1.842421360E1
2.240000000E0;3.598391171E2;2.980477711E1
2.280000000E0;3.694883554E2;2.239984347E1
2.320000000E0;3.685188250E2;2.794643282E1
2.360000000E0;3.800026214E2;2.737320446E1
2.400000000E0;4.032262864E2;3.258646248E1
2.440000000E0;4.148890334E2;2.731563885E1
2.480000000E0;4.258903848E2;3.313076934E1
2.520000000E0;4.460431348E2;4.167779331E1
2.560000000E0;4.909378990E2;3.410354632E1
2.600000000E0;4.997866082E2;3.049369331E1
2.640000000E0;5.153955559E2;2.405092434E1
2.680000000E0;5.254657927E2;3.164672089E1
2.720000000E0;5.492142420E2;1.843003216E1
2.760000000E0;5.387913561E2;2.871602349E1
2.800000000E0;5.562673418E2;3.358007446E1
