sylinder
t;x;y
0,000000000E0;6,841423473E-1;3,603481438E0
4,000000000E-2;8,182341619E-1;3,527430669E0
8,000000000E-2;7,986814093E-1;3,661213878E0
1,200000000E-1;8,756579958E-1;3,508495129E0
1,600000000E-1;1,028376745E0;3,585471715E0
2,000000000E-1;1,086109185E0;3,470932653E0
2,400000000E-1;1,277316227E0;3,471549865E0
2,800000000E-1;1,430034977E0;3,548526452E0
3,200000000E-1;1,563818185E0;3,568079204E0
3,600000000E-1;1,927605336E0;3,416286273E0
4,000000000E-1;2,214107293E0;3,512815612E0
4,400000000E-1;2,519544792E0;3,666768786E0
4,800000000E-1;2,787419815E0;3,610270770E0
5,200000000E-1;2,998179610E0;3,477104773E0
5,600000000E-1;3,456953070E0;3,516827490E0
6,000000000E-1;3,954214822E0;3,480190833E0
6,400000000E-1;4,566324243E0;3,405683094E0
6,800000000E-1;5,005853556E0;3,483585498E0
7,200000000E-1;5,579783290E0;3,389833613E0
7,600000000E-1;5,885529394E0;3,448183265E0
8,000000000E-1;6,382791147E0;3,411546608E0
8,400000000E-1;7,186107610E0;3,337656081E0
8,800000000E-1;7,587148630E0;3,491917860E0
9,200000000E-1;8,007433796E0;3,607999952E0
9,600000000E-1;8,619543217E0;3,533492213E0
1,000000000E0;9,594513970E0;3,594002107E0
1,040000000E0;1,034009799E1;3,634650642E0
1,080000000E0;1,091402773E1;3,540898757E0
1,120000000E0;1,179401217E1;3,409893002E0
1,160000000E0;1,257777588E1;3,469785684E0
1,200000000E0;1,349594001E1;3,358024075E0
1,240000000E0;1,410743222E1;3,474723379E0
1,280000000E0;1,502590496E1;3,267358250E0
1,320000000E0;1,605768233E1;3,500139645E0
1,360000000E0;1,686161601E1;3,235042076E0
1,400000000E0;1,774098324E1;3,295243364E0
1,440000000E0;1,862035047E1;3,355444652E0
1,480000000E0;1,967168060E1;3,454442839E0
1,520000000E0;2,066558689E1;3,572376566E0
1,560000000E0;2,206146003E1;3,557761509E0
1,600000000E0;2,292158311E1;3,656142484E0
1,640000000E0;2,401140153E1;3,678781297E0
1,680000000E0;2,504441333E1;3,529148607E0
1,720000000E0;2,655544274E1;3,381058948E0
1,760000000E0;2,758783732E1;3,422633301E0
1,800000000E0;2,881143895E1;3,464824866E0
1,840000000E0;3,024580038E1;3,373850434E0
1,880000000E0;3,141197817E1;3,434977540E0
1,920000000E0;3,278829855E1;3,554145692E0
1,960000000E0;3,408856816E1;3,539222029E0
2,000000000E0;3,556203509E1;3,180681180E0
2,040000000E0;3,713017973E1;3,109259501E0
2,080000000E0;3,865891025E1;3,401007761E0
2,120000000E0;3,974842006E1;3,519250094E0
2,160000000E0;4,152609007E1;3,697076504E0
2,200000000E0;4,276924445E1;3,605484860E0
2,240000000E0;4,426072110E1;3,591178409E0
2,280000000E0;4,609674076E1;3,463258714E0
2,320000000E0;4,747367835E1;3,391219823E0
2,360000000E0;4,917591480E1;3,243747376E0
2,400000000E0;5,089585236E1;3,536112847E0
2,440000000E0;5,215732507E1;3,693152080E0
