sylinder
t;x;y
0,000000000E0;6,856900242E-1;3,806835914E0
4,000000000E-2;7,814952203E-1;3,806833324E0
8,000000000E-2;9,137246789E-1;3,809084650E0
1,200000000E-1;1,056105979E0;3,811108894E0
1,600000000E-1;1,222315156E0;3,820308389E0
2,000000000E-1;1,423940258E0;3,821124670E0
2,400000000E-1;1,652465397E0;3,822053093E0
2,800000000E-1;1,911001731E0;3,821630678E0
3,200000000E-1;2,193356189E0;3,826078885E0
3,600000000E-1;2,503684190E0;3,821418343E0
4,000000000E-1;2,825987316E0;3,827529159E0
4,400000000E-1;3,188494286E0;3,842860944E0
4,800000000E-1;3,575757185E0;3,841674916E0
5,200000000E-1;4,021125359E0;3,857466147E0
5,600000000E-1;4,449054530E0;3,860803509E0
6,000000000E-1;4,921973183E0;3,873225163E0
6,400000000E-1;5,426087045E0;3,891723741E0
6,800000000E-1;5,948483223E0;3,896333186E0
7,200000000E-1;6,508736781E0;3,901650907E0
7,600000000E-1;7,070544983E0;3,907261936E0
8,000000000E-1;7,691557378E0;3,882369388E0
8,400000000E-1;8,314248611E0;3,870569587E0
8,800000000E-1;9,011865160E0;3,866145518E0
9,200000000E-1;9,721445005E0;3,874928198E0
9,600000000E-1;1,044179300E1;3,846922117E0
1,000000000E0;1,118833856E1;3,840868092E0
1,040000000E0;1,194289163E1;3,817951761E0
1,080000000E0;1,378763040E1;1,445008251E0
1,120000000E0;1,301957577E1;1,409273099E0
1,160000000E0;1,657942174E1;3,835441288E0
1,200000000E0;1,514359576E1;3,799085349E0
1,240000000E0;1,606109423E1;3,739336638E0
1,280000000E0;1,698929279E1;3,724635758E0
1,320000000E0;1,789454201E1;3,732970058E0
1,360000000E0;1,886018801E1;3,769317170E0
1,400000000E0;1,987363426E1;3,837272120E0
1,440000000E0;2,100713545E1;3,925115979E0
1,480000000E0;2,219126985E1;3,869192660E0
1,520000000E0;2,325731997E1;3,803240716E0
1,560000000E0;2,241818133E1;3,853027209E0
1,600000000E0;2,447671595E1;4,083683601E0
1,640000000E0;2,662281237E1;4,006116571E0
1,680000000E0;2,791825863E1;3,991584380E0
1,720000000E0;2,914120195E1;3,988834053E0
1,760000000E0;3,053184164E1;4,023715910E0
1,800000000E0;3,208390065E1;4,011394189E0
1,840000000E0;3,427573138E1;3,833513302E0
1,880000000E0;3,441871026E1;3,963817985E0
1,920000000E0;3,580232643E1;3,857635274E0
1,960000000E0;3,733658376E1;3,479241070E0
2,000000000E0;3,849907502E1;3,888690658E0
2,040000000E0;3,970938454E1;3,275412611E0
2,080000000E0;3,943331598E1;3,215294433E0
2,120000000E0;4,110114047E1;4,051289192E0
2,160000000E0;4,331559872E1;4,173935694E0
2,200000000E0;4,478576898E1;3,792748970E0
2,240000000E0;4,738921210E1;4,229043172E0
2,280000000E0;4,949364240E1;4,049948624E0
2,320000000E0;5,146249658E1;4,429361312E0
2,360000000E0;5,332048733E1;4,126415045E0
2,400000000E0;5,265523094E1;2,917676088E0
2,440000000E0;5,599778631E1;4,366230427E0
2,480000000E0;5,616799135E1;3,076347785E0
2,520000000E0;5,737172448E1;4,288137679E0
2,560000000E0;5,872301250E1;4,556384576E0
2,600000000E0;5,931528129E1;2,365522120E0
