mass_A
t;x;y
0,000000000E0;3,757982850E0;2,748075328E1
4,000000000E-2;3,827388382E0;2,749674314E1
8,000000000E-2;4,384080687E0;2,747028093E1
1,200000000E-1;4,936579746E0;2,742542239E1
1,600000000E-1;5,702886685E0;2,736199726E1
2,000000000E-1;6,865450735E0;2,734635125E1
2,400000000E-1;8,194201530E0;2,730745412E1
2,800000000E-1;9,630096179E0;2,731739765E1
3,200000000E-1;1,135551338E1;2,735984376E1
3,600000000E-1;1,354658561E1;2,729335332E1
4,000000000E-1;1,600450706E1;2,737019496E1
4,400000000E-1;1,867955673E1;2,741893257E1
4,800000000E-1;2,151457468E1;2,751518206E1
5,200000000E-1;2,447470084E1;2,753726409E1
5,600000000E-1;2,803930551E1;2,757839722E1
6,000000000E-1;3,177473634E1;2,760228246E1
6,400000000E-1;3,569194147E1;2,767814218E1
6,800000000E-1;4,004967107E1;2,761324475E1
7,200000000E-1;4,445845262E1;2,767068762E1
7,600000000E-1;4,931219111E1;2,770342580E1
8,000000000E-1;5,466256079E1;2,762092947E1
8,400000000E-1;6,011779969E1;2,769197284E1
8,800000000E-1;6,549214057E1;2,758373314E1
9,200000000E-1;7,159828078E1;2,768712305E1
9,600000000E-1;7,786044707E1;2,757664976E1
1,000000000E0;8,439032032E1;2,764939909E1
1,040000000E0;9,109843124E1;2,776462478E1
1,080000000E0;9,846527780E1;2,764471090E1
1,120000000E0;1,058757763E2;2,741500622E1
1,160000000E0;1,130341085E2;2,696459679E1
1,200000000E0;1,204320235E2;2,681140808E1
1,240000000E0;1,281230056E2;2,692943801E1
1,280000000E0;1,369609954E2;2,711158029E1
1,320000000E0;1,453114801E2;2,684176349E1
1,360000000E0;1,541628926E2;2,648049676E1
1,400000000E0;1,625857008E2;2,646998985E1
1,440000000E0;1,720986127E2;2,652315460E1
1,480000000E0;1,809955605E2;2,644809727E1
1,520000000E0;1,909073837E2;2,663863490E1
1,560000000E0;2,016595147E2;2,813539992E1
1,600000000E0;2,128232232E2;2,819377765E1
1,640000000E0;2,246299172E2;2,730246877E1
1,680000000E0;2,151340329E2;2,497477193E1
1,720000000E0;2,354961569E2;2,937340073E1
1,760000000E0;2,571224873E2;2,879125002E1
1,800000000E0;2,695869518E2;2,875796767E1
1,840000000E0;2,636071507E2;2,970328018E1
1,880000000E0;2,785799902E2;3,653590059E1
1,920000000E0;3,164487534E2;3,216912545E1
1,960000000E0;3,362717153E2;2,902568765E1
2,000000000E0;3,340443810E2;2,801906370E1
2,040000000E0;3,290901078E2;1,364627597E1
2,080000000E0;3,627181490E2;2,339589705E1
2,120000000E0;3,741669943E2;2,716389701E1
2,160000000E0;3,889817499E2;2,117063495E1
2,200000000E0;3,861064241E2;2,163309162E1
2,240000000E0;4,005637932E2;1,666705831E1
2,280000000E0;4,186148620E2;3,540196476E1
2,320000000E0;4,412779275E2;3,583742750E1
2,360000000E0;4,638423657E2;4,068057203E1
2,400000000E0;4,872222628E2;3,655897265E1
2,440000000E0;4,859909667E2;4,315902566E1
2,480000000E0;5,126308595E2;4,336242981E1
2,520000000E0;5,194125678E2;1,713706644E1
2,560000000E0;5,541877304E2;3,262652014E1
2,600000000E0;5,530846765E2;2,967621938E1
2,640000000E0;5,740236458E2;3,612948460E1
2,680000000E0;5,806792142E2;3,685976590E1
