mass_A
t;x;y
0.000000000E0;4.950268788E0;2.937350492E1
4.000000000E-2;5.024171912E0;2.936337559E1
8.000000000E-2;5.391370302E0;2.935218714E1
1.200000000E-1;5.955260646E0;2.936965559E1
1.600000000E-1;6.344379993E0;2.942520622E1
2.000000000E-1;7.232469294E0;2.933293670E1
2.400000000E-1;8.124156352E0;2.934796819E1
2.800000000E-1;9.334473107E0;2.926472270E1
3.200000000E-1;1.089123545E1;2.920215721E1
3.600000000E-1;1.241296961E1;2.925834157E1
4.000000000E-1;1.454202684E1;2.918817062E1
4.400000000E-1;1.655158572E1;2.915196694E1
4.800000000E-1;1.897116047E1;2.920945040E1
5.200000000E-1;2.172595678E1;2.911614764E1
5.600000000E-1;2.471346037E1;2.907007993E1
6.000000000E-1;2.794106065E1;2.900722643E1
6.400000000E-1;3.141436233E1;2.893983259E1
6.800000000E-1;3.487038320E1;2.886388280E1
7.200000000E-1;3.870345383E1;2.890056488E1
7.600000000E-1;4.300258294E1;2.887288992E1
8.000000000E-1;4.726690529E1;2.875279654E1
8.400000000E-1;5.194849552E1;2.877933759E1
8.800000000E-1;5.681121442E1;2.870930112E1
9.200000000E-1;6.185961826E1;2.869761821E1
9.600000000E-1;6.728262389E1;2.872055973E1
1.000000000E0;7.276547297E1;2.877414939E1
1.040000000E0;7.878130060E1;2.880761022E1
1.080000000E0;8.513134826E1;2.891611808E1
1.120000000E0;9.144229057E1;2.882716187E1
1.160000000E0;9.817706402E1;2.844887869E1
1.200000000E0;1.047198583E2;2.821043582E1
1.240000000E0;1.115137477E2;2.800772012E1
1.280000000E0;1.182316438E2;2.802002612E1
1.320000000E0;1.259015792E2;2.824792144E1
1.360000000E0;1.338608531E2;2.802813261E1
1.400000000E0;1.415639900E2;2.795763254E1
1.440000000E0;1.489550269E2;2.761047336E1
1.480000000E0;1.571960226E2;2.789421827E1
1.520000000E0;1.656462654E2;2.795222369E1
1.560000000E0;1.743580323E2;2.779459947E1
1.600000000E0;1.833922722E2;2.834026097E1
1.640000000E0;1.932596778E2;2.887271532E1
1.680000000E0;2.044900298E2;2.868584983E1
1.720000000E0;2.142832731E2;2.807757783E1
1.760000000E0;2.046562507E2;2.692263225E1
1.800000000E0;2.240316693E2;3.035310293E1
1.840000000E0;2.443183484E2;2.954208857E1
1.880000000E0;2.417170862E2;2.778054676E1
1.920000000E0;2.482960327E2;3.098238057E1
1.960000000E0;2.654321607E2;3.813499675E1
2.000000000E0;2.913962333E2;2.940482728E1
2.040000000E0;3.215872461E2;2.956551949E1
2.080000000E0;3.133117868E2;2.899223195E1
2.120000000E0;3.074045671E2;1.555702205E1
2.160000000E0;3.393008460E2;2.485646558E1
2.200000000E0;3.506907883E2;2.870489472E1
2.240000000E0;3.636398728E2;2.236096974E1
2.280000000E0;3.617214450E2;1.107616420E1
2.320000000E0;3.722510300E2;1.687861816E1
2.360000000E0;3.858739799E2;3.215246016E1
2.400000000E0;4.045162098E2;4.027751971E1
2.440000000E0;4.258430645E2;4.757787994E1
